"","Species","NoFire_Mean","NoFire_Low","NoFire_High","Fire_Mean","Fire_Low","Fire_High"
"1","Acer rubrum",0.218,0.06,0.474,0.001,0,0.134
"2","Amelanchier arborea",0.349,0.181,0.551,0.211,0.009,0.714
"3","Asimina triloba",0.002,0,0.034,NA,NA,NA
"4","Carpinus caroliniana",0.415,0.169,0.696,0.433,0.266,0.612
"5","Carya alba",0.01,0,0.219,0,0,0.54
"6","Carya glabra",0.054,0.004,0.206,0.318,0.017,0.856
"7","Fagus grandifolia",0.384,0.273,0.503,1,0.987,1
"8","Ilex opaca",0.235,0.175,0.302,0,0,0.02
"9","Liquidambar styraciflua",0.174,0.036,0.432,NA,NA,NA
"10","Nyssa sylvatica",0.527,0.349,0.702,0,0,0.104
"11","Pinus virginiana",0.164,0.029,0.429,0.101,0.006,0.397
"12","Quercus alba",0.186,0.14,0.239,0,0,0.013
"13","Quercus coccinea",0,0,0.123,0.035,0.002,0.138
"14","Quercus falcata",0.194,0.011,0.639,0.006,0,0.223
"15","Quercus prinus",0.301,0.132,0.517,NA,NA,NA
"16","Quercus velutina",0.195,0.053,0.429,0,0,0.207
"17","Sassafras albidum",0.14,0.026,0.368,0,0,0.315
"18","All",0.213,0.185,0.244,0.097,0.061,0.143
"19","Early_Successional",0.159,0.054,0.335,0.084,0.004,0.349
"20","Oak_Hickory",0.171,0.133,0.215,0.015,0.002,0.046
"21","Mesic",0.297,0.246,0.352,0.069,0.011,0.213
"22","Non_Canopy",0.128,0.076,0.197,0.378,0.23,0.539
