"","Species","TotalCount","TotalPlots","shape","Intercept","YearSlope","YearError","Year_low_95","Year_up_95","Year_low_85","Year_up_85","Year_Per_Change","Year_Per_Change_low95","Year_Per_Change_upper95","Year_Per_Change_low85","Year_Per_Change_upper85","Prob_Decreasing","Prob_Increasing","FireIntercept","FireIntError","Fire_Int_Per_Change","Fire_Int_low_95","Fire_Int_up_95","Prob_Fire_Int_Decreasing","Prob_Fire_Int_Increasing","FireSlope","FireError","Fire_Slope_low_95","Fire_Slope_up_95","Fire_Year_Per_Change","Fire_Year_Per_Change_low95","Fire_Year_Per_Change_upper95","Fire_Year_Per_Change_low85","Fire_Year_Per_Change_upper85","Prob_Fire_Slope_Decreasing","Prob_Fire_SlOpe_Increasing","Prob_Fire_Overall_Decreasing","Prob_Fire_Ovarall_Increasing","Fire_Decreased_Year1","Fire_Increased_Year1","Model","Occu_Slope","Occu_Error","Occu_L95","Occu_U95","Occu_Decreasing","Occu_Increasing","Occu_Start","Occu_End"
"1","Acer rubrum",1564,368,51.906,-2.758,0.0196,0.002,0.016,0.023,0.017,0.022,1.0198,1.0161,1.0233,1.0171,1.0222,0,1,-0.134,0.496,0.87,-0.959,0.67,0.607,0.393,0.0157,0.01,-0.001,0.033,1.0359,1.0187,1.0533,1.0251,1.0467,0.066,0.934,0,1,0.673,0.327,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"2","Carpinus caroliniana",59,36,12.783,-4.295,0.0601,0.018,0.029,0.089,0.041,0.078,1.0619,1.0294,1.0931,1.0419,1.0811,0.002,0.998,0.027,0.606,1.03,-1.011,1.075,0.482,0.518,0.0277,0.05,-0.056,0.114,1.0918,1.0082,1.1821,1.0393,1.1465,0.286,0.714,0.036,0.964,0.583,0.417,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"3","Carya alba",251,134,175.233,-3.222,0.0142,0.002,0.011,0.018,0.012,0.016,1.0143,1.0111,1.0182,1.0121,1.0161,0,1,-0.994,0.803,0.37,-2.311,0.329,0.893,0.107,0.031,0.012,0.011,0.051,1.0462,1.0255,1.0673,1.0331,1.0594,0.007,0.993,0,1,0.927,0.073,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"4","Carya glabra",359,170,137.043,-2.801,0.0166,0.002,0.013,0.02,0.014,0.019,1.0167,1.0131,1.0202,1.0141,1.0192,0,1,-0.934,0.911,0.39,-2.433,0.581,0.845,0.155,0.0125,0.015,-0.013,0.038,1.0295,1.0041,1.056,1.0135,1.046,0.206,0.794,0.028,0.972,0.861,0.139,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"5","Carya ovalis",62,44,147.241,-2.756,0.0193,0.004,0.013,0.026,0.015,0.023,1.0195,1.0131,1.0263,1.0151,1.0233,0,1,19.501,68.894,294561980.79,-109.379,175.613,0.386,0.614,-3.3913,95.708,-122.397,115.275,0.0343,0,1.17819513340765e+50,0,1.02115208003411e+38,0.514,0.486,0.514,0.486,0.478,0.522,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"6","Cornus florida",178,86,16.436,-4.116,-0.0152,0.01,-0.031,0.001,-0.025,-0.005,0.9849,0.9695,1.001,0.9753,0.995,0.941,0.059,0.197,0.716,1.22,-0.988,1.408,0.393,0.607,0.1095,0.047,0.031,0.188,1.0989,1.0173,1.1873,1.047,1.153,0.013,0.987,0.024,0.976,0.713,0.287,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"7","Fraxinus americana",48,33,9.026,-3.733,-0.0098,0.02,-0.044,0.023,-0.031,0.011,0.9902,0.957,1.0233,0.9695,1.0111,0.691,0.309,43.201,69.743,5780373651061227520,-87.997,196.088,0.263,0.737,-3.5014,101.294,-128.834,119.918,0.0299,0,1.18511522621939e+52,0,3.8203912054344e+39,0.512,0.488,0.512,0.488,0.466,0.534,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"8","Juniperus virginiana",53,30,47.043,-3.486,0.0036,0.009,-0.012,0.02,-0.006,0.013,1.0036,0.9881,1.0202,0.994,1.0131,0.351,0.649,37.089,69.432,12809967836444768,-92.366,199.276,0.289,0.711,-4.3306,98.933,-127.305,119.309,0.0132,0,6.55576285868189e+51,0,1.06690614645327e+39,0.516,0.484,0.516,0.484,0.463,0.537,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"9","Liquidambar styraciflua",144,42,81.007,-2.99,0.0357,0.006,0.026,0.045,0.03,0.041,1.0363,1.0263,1.046,1.0305,1.0419,0,1,15.939,68.137,8360259.29,-120.215,155.297,0.402,0.598,2.9246,12.177,-21.392,27.869,19.3038,0,1315126077577.39,0,15490580.3755,0.399,0.601,0.398,0.602,0.638,0.362,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"10","Liriodendron tulipifera",2115,371,134.113,-1.17,0.0196,0.001,0.017,0.022,0.018,0.021,1.0198,1.0171,1.0222,1.0182,1.0212,0,1,0.238,0.481,1.27,-0.552,1.047,0.31,0.69,0.0023,0.006,-0.008,0.013,1.0221,1.0116,1.0327,1.0155,1.0288,0.359,0.641,0,1,0.319,0.681,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"11","Nyssa sylvatica",1118,331,47.753,-3.055,0.0111,0.003,0.007,0.015,0.008,0.014,1.0112,1.007,1.0151,1.008,1.0141,0,1,-0.118,0.423,0.89,-0.818,0.591,0.608,0.392,0.0285,0.013,0.007,0.05,1.0404,1.0186,1.0628,1.0266,1.0544,0.015,0.985,0.001,0.999,0.743,0.257,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"12","Pinus virginiana",2215,236,23.075,-0.934,-0.0271,0.004,-0.034,-0.02,-0.032,-0.023,0.9733,0.9666,0.9802,0.9685,0.9773,1,0,0.518,0.693,1.68,-0.622,1.654,0.229,0.771,-0.0125,0.022,-0.049,0.024,0.9612,0.9273,0.9959,0.9397,0.9829,0.714,0.286,0.966,0.034,0.205,0.795,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"13","Quercus alba",1614,336,164.472,-1.358,0.0112,0.001,0.009,0.013,0.01,0.013,1.0113,1.009,1.0131,1.0101,1.0131,0,1,-0.339,0.605,0.71,-1.32,0.659,0.711,0.289,-0.0313,0.008,-0.045,-0.018,0.9801,0.9674,0.9931,0.9721,0.9882,1,0,0.994,0.006,0.606,0.394,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"14","Quercus coccinea",506,171,22.93,-1.377,0.0092,0.005,0.001,0.018,0.004,0.015,1.0092,1.001,1.0182,1.004,1.0151,0.038,0.962,-0.548,0.637,0.58,-1.618,0.515,0.803,0.197,0.0158,0.03,-0.035,0.066,1.0253,0.9749,1.0777,0.9937,1.0575,0.3,0.7,0.202,0.798,0.836,0.164,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"15","Quercus falcata",233,115,99.221,-2.24,0.0138,0.003,0.009,0.019,0.011,0.017,1.0139,1.009,1.0192,1.0111,1.0171,0,1,-0.472,1.365,0.62,-2.754,1.797,0.636,0.364,0.0072,0.018,-0.023,0.037,1.0212,0.9912,1.0521,1.0024,1.0405,0.345,0.655,0.121,0.879,0.646,0.354,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"16","Quercus prinus",212,45,176.401,-1.491,0.0173,0.003,0.011,0.023,0.014,0.021,1.0175,1.0111,1.0233,1.0141,1.0212,0,1,-10.448,70.586,0,-139.074,152.545,0.561,0.439,-3.2975,93.128,-119.445,112.035,0.0376,0,4.60800121699996e+48,0,1.19897282634708e+37,0.513,0.487,0.513,0.487,0.499,0.501,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"17","Quercus rubra",193,100,66.267,-2.364,0.0199,0.004,0.013,0.026,0.016,0.024,1.0201,1.0131,1.0263,1.0161,1.0243,0,1,9.777,69.754,17623.7,-118.405,168.681,0.44,0.56,-3.4283,94.375,-122.19,113.092,0.0331,0,1.33262386310524e+49,0,1.99451065177129e+37,0.513,0.487,0.513,0.487,0.482,0.518,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"18","Quercus velutina",188,115,20.313,-2.419,0.0081,0.007,-0.003,0.019,0.001,0.015,1.0081,0.997,1.0192,1.001,1.0151,0.122,0.878,-2.599,1.213,0.07,-4.633,-0.591,0.982,0.018,0.2172,0.08,0.084,0.35,1.2527,1.097,1.4295,1.1521,1.3609,0.004,0.996,0.003,0.997,0.996,0.004,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"19","All",14109,435,145.861,0.664,0.0063,0.001,0.004,0.008,0.005,0.008,1.0063,1.004,1.008,1.005,1.008,0,1,-0.486,0.122,0.62,-0.688,-0.283,1,0,-0.0235,0.006,-0.034,-0.013,0.9829,0.9733,0.9928,0.9769,0.9892,1,0,0.998,0.002,0.997,0.003,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"20","Early_Successional",4549,404,93.404,-0.507,-0.001,0.002,-0.004,0.002,-0.003,0.001,0.999,0.996,1.002,0.997,1.001,0.733,0.267,0.058,0.427,1.06,-0.64,0.76,0.446,0.554,0.0025,0.008,-0.01,0.015,1.0015,0.9892,1.014,0.9938,1.0093,0.371,0.629,0.423,0.577,0.458,0.541,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"21","Oak_Hickory",3647,410,39.016,-0.555,0.0081,0.002,0.004,0.012,0.006,0.011,1.0081,1.004,1.0121,1.006,1.0111,0.001,0.999,-1.126,0.546,0.32,-2.017,-0.23,0.98,0.02,-0.0332,0.014,-0.057,-0.01,0.9752,0.9523,0.9981,0.9607,0.9897,0.989,0.011,0.962,0.038,0.956,0.044,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"22","Mesic",5571,434,43.199,-1.357,0.0311,0.002,0.027,0.035,0.029,0.033,1.0316,1.0274,1.0356,1.0294,1.0336,0,1,-0.697,0.365,0.5,-1.307,-0.095,0.971,0.029,-0.0102,0.011,-0.029,0.009,1.0211,1.0025,1.0401,1.0094,1.0331,0.812,0.188,0.03,0.97,0.957,0.043,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"23","Non_Canopy",294,145,15.207,-4.11,0.0095,0.008,-0.003,0.022,0.002,0.017,1.0095,0.997,1.0222,1.002,1.0171,0.108,0.892,0.002,0.507,1,-0.83,0.841,0.498,0.502,0.0403,0.032,-0.013,0.094,1.0511,0.9979,1.1074,1.0175,1.0861,0.106,0.894,0.057,0.943,0.662,0.338,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"24","Ilex opaca",380,150,35.972,-3.845,0.0368,0.004,0.029,0.044,0.032,0.041,1.0375,1.0294,1.045,1.0325,1.0419,0,1,-0.145,0.875,0.87,-1.61,1.309,0.566,0.434,-0.0078,0.03,-0.057,0.041,1.0294,0.9804,1.0806,0.9983,1.0612,0.606,0.394,0.164,0.836,0.545,0.455,"HurdGamma",NA,NA,NA,NA,NA,NA,NA,NA
"25","Fagus grandifolia",2428,339,29.959,-2.259,0.0578,0.003,0.053,0.063,0.054,0.062,1.0595,1.0544,1.065,1.0555,1.064,0,1,-0.094,0.911,0.91,-1.586,1.388,0.54,0.46,0.0407,0.023,0.002,0.08,1.1035,1.0621,1.1468,1.077,1.1303,0.041,0.959,0,1,0.635,0.365,"HurdGamma2",-0.066,0.034,-0.133,0,0.024,0.976,0.679,0.856
"26","Sassafras albidum",51,40,26.545,-4.399,0.0259,0.011,0.005,0.044,0.013,0.042,1.0262,1.005,1.045,1.0131,1.0429,0.024,0.976,58.021,68.629,1.57833844268901e+25,-72.802,210.444,0.199,0.801,-3.9001,103.064,-129.809,122.373,0.0208,0,1.43860912553092e+53,0,3.03236503943515e+40,0.515,0.486,0.514,0.486,0.453,0.547,"HurdGamma2",-0.079,0.049,-0.176,0.014,0.049,0.951,1,0
